Home,Away,Home_goals,Away_goals
Turkey,Italy,0,3
Wales,Switzerland,1,1
Denmark,Finland,0,1
Belgium,Russia,3,0
England,Croatia,1,0
Austria,NorthMacedonia,3,1
Netherlands,Ukraine,3,2
Scotland,CzechRepublic,0,2
Poland,Slovakia,1,2
Spain,Sweden,0,0
Hungary,Portugal,0,3
France,Germany,1,0
Finland,Russia,0,1
Turkey,Wales,0,2
Italy,Switzerland,3,0
Ukraine,NorthMacedonia,2,1
Denmark,Belgium,1,2
Netherlands,Austria,2,0
Sweden,Slovakia,1,0
Croatia,CzechRepublic,1,1
England,Scotland,0,0
France,Hungary,1,1
Germany,Portugal,4,2
Poland,Spain,1,1
